# loss,val_loss,acc,val_acc
3.703654766082763672e+00,3.400446653366088867e+00,5.471698194742202759e-02,3.645833209156990051e-02
3.641082048416137695e+00,3.334764242172241211e+00,4.811320826411247253e-02,5.729166790843009949e-02
3.562772750854492188e+00,3.310187578201293945e+00,5.188679322600364685e-02,5.729166790843009949e-02
3.499670982360839844e+00,3.226923704147338867e+00,5.471698194742202759e-02,7.812500000000000000e-02
3.415997982025146484e+00,3.200933456420898438e+00,7.169811427593231201e-02,9.375000000000000000e-02
3.345081329345703125e+00,3.159706830978393555e+00,7.075471431016921997e-02,1.093750000000000000e-01
3.347286701202392578e+00,3.137388944625854492e+00,7.830188423395156860e-02,1.093750000000000000e-01
3.249352455139160156e+00,3.121874570846557617e+00,8.547794073820114136e-02,1.197916641831398010e-01
3.258631944656372070e+00,3.093632459640502930e+00,8.962263911962509155e-02,1.145833358168601990e-01
3.247006893157958984e+00,3.061818361282348633e+00,7.830188423395156860e-02,1.250000000000000000e-01
3.199342250823974609e+00,3.061562538146972656e+00,9.716980904340744019e-02,1.197916641831398010e-01
3.188136816024780273e+00,3.003133058547973633e+00,1.018867939710617065e-01,1.354166716337203979e-01
3.150927066802978516e+00,3.001790285110473633e+00,1.113207563757896423e-01,1.354166716337203979e-01
3.114684343338012695e+00,2.993048429489135742e+00,1.047169789671897888e-01,1.562500000000000000e-01
3.068436861038208008e+00,2.966504335403442383e+00,1.264150887727737427e-01,1.614583283662796021e-01
3.043579101562500000e+00,2.922994613647460938e+00,1.349056661128997803e-01,1.822916716337203979e-01
3.038587331771850586e+00,2.913689613342285156e+00,1.386792510747909546e-01,1.875000000000000000e-01
2.960191726684570312e+00,2.904491186141967773e+00,1.603773534297943115e-01,1.927083283662796021e-01
2.982671737670898438e+00,2.856992483139038086e+00,1.500000059604644775e-01,2.083333283662796021e-01
2.961642265319824219e+00,2.837316513061523438e+00,1.575471758842468262e-01,2.604166567325592041e-01
2.917758703231811523e+00,2.831290960311889648e+00,1.613207608461380005e-01,2.395833283662796021e-01
2.913650751113891602e+00,2.824016332626342773e+00,1.783018857240676880e-01,2.500000000000000000e-01
2.852101564407348633e+00,2.793850660324096680e+00,1.867924481630325317e-01,2.864583432674407959e-01
2.838298797607421875e+00,2.759433031082153320e+00,1.801886856555938721e-01,3.125000000000000000e-01
2.824611186981201172e+00,2.774319887161254883e+00,1.867924481630325317e-01,2.916666567325592041e-01
2.776237964630126953e+00,2.738659620285034180e+00,2.198113203048706055e-01,3.020833432674407959e-01
2.784203290939331055e+00,2.740360975265502930e+00,1.952830255031585693e-01,3.125000000000000000e-01
2.735496759414672852e+00,2.698041200637817383e+00,2.207547128200531006e-01,3.177083432674407959e-01
2.736230611801147461e+00,2.675547361373901367e+00,2.179245352745056152e-01,3.229166567325592041e-01
2.735931158065795898e+00,2.649281501770019531e+00,2.113207578659057617e-01,3.333333432674407959e-01
2.696595191955566406e+00,2.658614635467529297e+00,2.320754677057266235e-01,3.072916567325592041e-01
2.673562049865722656e+00,2.600627660751342773e+00,2.389705926179885864e-01,3.854166567325592041e-01
2.647233009338378906e+00,2.626796960830688477e+00,2.669811248779296875e-01,3.437500000000000000e-01
2.633822202682495117e+00,2.586168527603149414e+00,2.594339549541473389e-01,3.645833432674407959e-01
2.604484796524047852e+00,2.578129053115844727e+00,2.650943398475646973e-01,3.802083432674407959e-01
2.581341981887817383e+00,2.559339523315429688e+00,2.716981172561645508e-01,3.697916567325592041e-01
2.557388305664062500e+00,2.542193651199340820e+00,2.801886796951293945e-01,3.802083432674407959e-01
2.545907497406005859e+00,2.549224138259887695e+00,2.962264120578765869e-01,3.958333432674407959e-01
2.533475637435913086e+00,2.519550561904907227e+00,2.905660271644592285e-01,3.906250000000000000e-01
2.534615993499755859e+00,2.492438316345214844e+00,2.943396270275115967e-01,4.218750000000000000e-01
